Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-05-12 07:00:04,false,"Eustis Running","26.45","3,230","03:54:29","168","182","5.0","169","179","8:52","7:36","542","1,114","1.07","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:04:12.8","27","NaN","03:54:24","03:54:29","584","1,542"
Running,2024-05-09 16:49:20,false,"Waterville Running","4.11","507","00:35:07","162","182","3.2","168","176","8:32","7:29","175","149","1.12","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:01:00.3","5","NaN","00:35:04","00:35:07","213","346"
Indoor Cycling,2024-05-05 16:40:02,false,"Indoor Cycling","0.00","832","00:59:06","162","177","3.7","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:59:06","1","NaN","00:00:00","00:59:06","--","--"
Indoor Cycling,2024-05-03 18:00:27,false,"Indoor Cycling","0.00","292","00:23:40","148","156","2.3","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:23:40","1","NaN","00:00:00","00:23:40","--","--"
Running,2024-05-02 14:24:41,false,"Waterville Running","7.16","926","01:05:18","167","185","3.6","168","181","9:07","7:56","354","321","1.05","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:01:26.6","8","NaN","01:05:15","01:05:18","92","347"
Indoor Cycling,2024-05-01 19:54:51,false,"Indoor Cycling","0.00","436","00:44:30","137","148","2.1","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:44:30","1","NaN","00:00:00","00:44:30","--","--"
Indoor Cycling,2024-04-30 16:35:22,false,"Indoor Cycling","0.00","338","00:30:10","143","159","2.1","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:30:10","1","NaN","00:00:00","00:30:10","--","--"
Indoor Cycling,2024-04-29 20:30:58,false,"Indoor Cycling","0.00","357","00:30:02","147","170","2.4","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:30:02","1","NaN","00:00:00","00:30:02","--","--"
Running,2024-04-25 07:55:01,false,"Waterville Running","4.90","614","00:42:12","166","184","3.5","171","178","8:36","7:45","651","656","1.10","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:07:35.5","5","NaN","00:42:10","00:42:12","137","623"
Running,2024-04-23 07:59:14,false,"Waterville Running","3.61","458","00:31:07","167","193","3.6","171","179","8:37","6:57","434","488","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","NaN:NaN","NaN","NaN:NaN","No","00:04:42.7","4","NaN","00:31:06","00:41:02","173","459"
