"Activity.Type","Date","Favorite","Title","Distance","Calories","Time","Avg.HR","Max.HR","Aerobic.TE","Avg.Run.Cadence","Max.Run.Cadence","Avg.Pace","Best.Pace","Total.Ascent","Total.Descent","Avg.Stride.Length","Avg.Vertical.Ratio","Avg.Vertical.Oscillation","Avg.Ground.Contact.Time","Training.Stress.Score.","Avg.Power","Max.Power","Grit","Flow","Total.Strokes","Avg..Swolf","Avg.Stroke.Rate","Total.Reps","Dive.Time","Min.Temp","Surface.Interval","Decompression","Best.Lap.Time","Number.of.Laps","Max.Temp","Moving.Time","Elapsed.Time","Min.Elevation","Max.Elevation","date_time","date_cal","Time_hms","temp","cat_dist","HR_zone","pace"
"Treadmill Running","2024-01-04 10:13:59","false","Treadmill Running",9.05,"1,300","01:30:47",175,192,5,"161","233","10:02","7:18","--","--",1.01,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:02:23.2",10,NA,"01:28:51","01:30:47","--","--",2024-01-04 10:13:59,2024-01-04,01:30:47,2000-12-12 00:10:02,"medium","Zone_4",602
"Running","2024-04-01 18:25:38","false","Waterville Running",1.21,"171","00:12:14",159,174,2,"158","172","10:07","8:29","37","--",1.01,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:02:03.7",2,NA,"00:11:53","00:40:05","225","269",2024-04-01 18:25:38,2024-04-01,00:12:14,2000-12-12 00:10:07,"short","Zone_3",607
"Treadmill Running","2024-01-02 13:47:02","false","Treadmill Running",6.03,"753","01:02:23",157,179,3.5,"160","173","10:21","6:25","--","--",1.21,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:00:00.7",11,NA,"01:01:23","01:02:23","--","--",2024-01-02 13:47:02,2024-01-02,01:02:23,2000-12-12 00:10:21,"medium","Zone_3",621
"Treadmill Running","2024-01-17 15:05:06","false","Treadmill Running",4,"495","00:43:29",154,168,3,"160","180","10:52","8:38","--","--",0.96,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:00:06.9",6,NA,"00:43:14","00:43:29","--","--",2024-01-17 15:05:06,2024-01-17,00:43:29,2000-12-12 00:10:52,"short","Zone_3",652
"Running","2024-02-15 16:15:37","false","Waterville Running",4.56,"519","00:34:04",175,191,3.7,"171","189","7:28","5:23","371","363",1.26,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:04:53.4",5,NA,"00:33:52","00:35:06","95","282",2024-02-15 16:15:37,2024-02-15,00:34:04,2000-12-12 00:07:28,"short","Zone_4",448
"Running","2023-12-01 15:13:53","false","Waterville Running",4.6,"521","00:35:45",168,190,3.5,"165","180","7:46","6:09","255","172",1.25,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:01:37.3",6,NA,"00:35:44","00:35:46","97","368",2023-12-01 15:13:53,2023-12-01,00:35:45,2000-12-12 00:07:46,"short","Zone_4",466
"Running","2024-03-12 16:19:48","false","Waterville Running",5.53,"669","00:42:59",173,186,3.8,"169","179","7:47","6:42","251","261",1.22,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:03:55.5",6,NA,"00:42:49","00:42:59","93","345",2024-03-12 16:19:48,2024-03-12,00:42:59,2000-12-12 00:07:47,"medium","Zone_4",467
"Running","2024-02-28 19:35:52","false","Waterville Running",1.86,"219","00:14:32",165,177,2.6,"168","176","7:48","7:02","--","4",1.23,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:06:59.5",2,NA,"00:14:32","00:14:32","218","226",2024-02-28 19:35:52,2024-02-28,00:14:32,2000-12-12 00:07:48,"short","Zone_4",468
"Running","2024-04-11 17:15:03","false","Waterville Running",7.95,"931","01:03:18",164,181,4.3,"165","213","7:58","6:15","448","468",1.22,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:06:32.8",8,NA,"01:03:16","01:04:50","95","256",2024-04-11 17:15:03,2024-04-11,01:03:18,2000-12-12 00:07:58,"medium","Zone_4",478
"Running","2024-02-22 16:28:19","false","Waterville Running",4.7,"556","00:37:37",165,180,3.4,"168","175","8:00","7:02","300","296",1.19,NA,NA,NA,0,NA,NA,NA,NA,"--",NA,NA,NA,"NaN:NaN",NA,"NaN:NaN","No","00:05:26.3",5,NA,"00:37:35","00:37:37","95","276",2024-02-22 16:28:19,2024-02-22,00:37:37,2000-12-12 00:08:00,"short","Zone_4",480
